Gamme,Type/Nom de Gamme,Ingrédients Clés,Bénéfices,Description longue,Produit,Contenance,Photos,Prix achat,Prix de revient,Prix HT,Prix TTC,Référence (SKU),Marge
FB,Gamme Renforcateur,Acide hyaluronique et Biotine,"Pour cheveux abîmés, élimine l'effet crépu et donne de l'éclat.","La gamme renforcateur à la Kératine, acide yaluronique et Biotine, sans sulfates, pour cheveux secs fragiles et cassants.
Renforce le suir chevelu, soigne la re capillaire et restaure l'élasticité et sa force naturelle pour une action anti-casse.",Shampooing FB,1000ML,,"€4,95",7.425,€16.50,"€17,90",K41005,2.222
FB,Gamme Renforcateur,Acide hyaluronique et Biotine,"Pour cheveux abîmés, élimine l'effet crépu et donne de l'éclat.","La gamme renforcateur à la Kératine, acide yaluronique et Biotine, sans sulfates, pour cheveux secs fragiles et cassants.
Renforce le suir chevelu, soigne la re capillaire et restaure l'élasticité et sa force naturelle pour une action anti-casse.",Shampooing FB,250ML,,"€1,85",2.775,€8.20,"€8,90",K41004,2.956
FB,Gamme Renforcateur,Acide hyaluronique et Biotine,"Pour cheveux abîmés, élimine l'effet crépu et donne de l'éclat.","La gamme renforcateur à la Kératine, acide yaluronique et Biotine, sans sulfates, pour cheveux secs fragiles et cassants.
Renforce le suir chevelu, soigne la re capillaire et restaure l'élasticité et sa force naturelle pour une action anti-casse.",Sérum FB,100ML,,"€3,95",5.925,€13.73,"€14,90",K41003,2.318
FB,Gamme Renforcateur,Acide hyaluronique et Biotine,"Pour cheveux abîmés, élimine l'effet crépu et donne de l'éclat.","La gamme renforcateur à la Kératine, acide yaluronique et Biotine, sans sulfates, pour cheveux secs fragiles et cassants.
Renforce le suir chevelu, soigne la re capillaire et restaure l'élasticité et sa force naturelle pour une action anti-casse.",Masque FB,500ML,,"€2,45",3.675,€10.05,"€10,90",K41002,2.734
FB,Gamme Renforcateur,Acide hyaluronique et Biotine,"Pour cheveux abîmés, élimine l'effet crépu et donne de l'éclat.","La gamme renforcateur à la Kératine, acide yaluronique et Biotine, sans sulfates, pour cheveux secs fragiles et cassants.
Renforce le suir chevelu, soigne la re capillaire et restaure l'élasticité et sa force naturelle pour une action anti-casse.",Masque FB,1000ML,,"€3,65",5.475,€14.65,"€15,90",K41006,2.677
FB,Gamme Renforcateur,Acide hyaluronique et Biotine,"Pour cheveux abîmés, élimine l'effet crépu et donne de l'éclat.","La gamme renforcateur à la Kératine, acide yaluronique et Biotine, sans sulfates, pour cheveux secs fragiles et cassants.
Renforce le suir chevelu, soigne la re capillaire et restaure l'élasticité et sa force naturelle pour une action anti-casse.",Crème de soin FB,200ML,,"€2,25",3.375,€10.05,"€10,90",K41007,2.977
LISSAGE PREMIUM,Lissage Brésilien,"Kératine, Tanin & Acide Hyaluronique",,,Kit 360ML (3x120ml),120ML x3,imgi_30_.jpg (https://v5.airtableusercontent.com/v3/u/51/51/1774454400000/oo-lsQLnFc-s5iwpYyeZ7g/Yo-XukaXGaVP3J-Lz3EmYUbBT7KotP7Pf9vyLq9qTDIIQdOwXSiJDWCH36hIACbyctab0lb9RNmcQVUe7FQBGzPxnMjGgaTMpGa39OwyzLmW_PST-5sWGtT9RhXzsUMTRzp_PNiHCycDOqWLE49rwsoCDEmlanIYi2rjs6m0zrE/AIb2hzaach2pmY1aePdUXBUmKPzl8Zn662iALNfUSHk),"€12,50",18.750,€45.16,"€49,00",KER001,2.409
MONOÏ,Hydratant Vegan,Monoï & Vanille,Hydrate et répare les longueurs sans alourdir. Cuirs chevelus sensibles.,"Sa formulation végan, spécialement conçue à base de monoï et de vanille, hydrate en
profondeur, renforce la fibre capillaire, répare les longueurs abîmées.
Avec ses propriétés adoucissantes, la vanille apporte de la souplesse et un éclat naturel à la
chevelure.
Idéal pour les cuirs chevelus sensibles, il nettoie sans alourdir ni irriter.",Shampooing-Douche Monoï,500ML,,"€3,35",5.025,€11.89,"€12,90",K52001,2.366
MONOÏ,Hydratant Vegan,Monoï & Vanille,Hydrate et répare les longueurs sans alourdir. Cuirs chevelus sensibles.,"Sa formulation végan, spécialement conçue à base de monoï et de vanille, hydrate en
profondeur, renforce la fibre capillaire, répare les longueurs abîmées.
Avec ses propriétés adoucissantes, la vanille apporte de la souplesse et un éclat naturel à la
chevelure.
Idéal pour les cuirs chevelus sensibles, il nettoie sans alourdir ni irriter.",Sérum Monoï,100ML,,"€3,95",5.925,€13.73,"€14,90",K52003,2.318
MONOÏ,Hydratant Vegan,Monoï & Vanille,Hydrate et répare les longueurs sans alourdir. Cuirs chevelus sensibles.,"Sa formulation végan, spécialement conçue à base de monoï et de vanille, hydrate en
profondeur, renforce la fibre capillaire, répare les longueurs abîmées.
Avec ses propriétés adoucissantes, la vanille apporte de la souplesse et un éclat naturel à la
chevelure.
Idéal pour les cuirs chevelus sensibles, il nettoie sans alourdir ni irriter.",Crème Monoï,200ML,,"€2,35",3.525,€10.05,"€10,90",K52004,2.850
SV,Gamme Violet Déjaunisseur,Silver Protect System à la Kératine,"Réduit les reflets jaunes sur cheveux blonds, blancs ou gris.","La gamme Silver Protect System anti jaunissement sans sulfate à la kératine.
Idéale, pour cheveux blonds ou blanc, gris et méchés.
Réduis les reflets jaunes non désirés sur les cheveux gris, décolorés ou super éclaircis.",Shampoing SV,500ML,,"€3,85",5.775,€12.81,"€13,90",K53001,2.218
SV,Gamme Violet Déjaunisseur,Silver Protect System à la Kératine,"Réduit les reflets jaunes sur cheveux blonds, blancs ou gris.","La gamme Silver Protect System anti jaunissement sans sulfate à la kératine.
Idéale, pour cheveux blonds ou blanc, gris et méchés.
Réduis les reflets jaunes non désirés sur les cheveux gris, décolorés ou super éclaircis.",Sérum SV,100ML,,"€3,95",5.925,€13.73,"€14,90",K53003,2.318
SV,Gamme Violet Déjaunisseur,Silver Protect System à la Kératine,"Réduit les reflets jaunes sur cheveux blonds, blancs ou gris.","La gamme Silver Protect System anti jaunissement sans sulfate à la kératine.
Idéale, pour cheveux blonds ou blanc, gris et méchés.
Réduis les reflets jaunes non désirés sur les cheveux gris, décolorés ou super éclaircis.",Masque SV,500ML,,"€2,85",4.275,€10.05,"€10,90",K53002,2.350
XL,Gamme Liss Intense Anti-frizz,Kératine et Protéine de soie,Pour cheveux lisses et soyeux.,"La gamme liss intense anti-friss sans sulfates à la ératine et proté ne de soie.
Idéal pour cheveux secs, rebelles, difficiles à lisser.
Nourrit et restaure la re abimée, avec sa formule enrichie aux protéines de soie, détend la fibre sans alourdir le cheveu.
Elimine l'effet de frisottis et procure soyance et brillance pour un effet lisse immédiat.",Shampooing XL,500ML,,"€3,35",5.025,€11.89,"€12,90",K23002,2.366
XL,Gamme Liss Intense Anti-frizz,Kératine et Protéine de soie,Pour cheveux lisses et soyeux.,"La gamme liss intense anti-friss sans sulfates à la ératine et proté ne de soie.
Idéal pour cheveux secs, rebelles, difficiles à lisser.
Nourrit et restaure la re abimée, avec sa formule enrichie aux protéines de soie, détend la fibre sans alourdir le cheveu.
Elimine l'effet de frisottis et procure soyance et brillance pour un effet lisse immédiat.",Shampooing XL,1000ML,,"€4,95",7.425,€16.50,"€17,90",K23003,2.222
XL,Gamme Liss Intense Anti-frizz,Kératine et Protéine de soie,Pour cheveux lisses et soyeux.,"La gamme liss intense anti-friss sans sulfates à la ératine et proté ne de soie.
Idéal pour cheveux secs, rebelles, difficiles à lisser.
Nourrit et restaure la re abimée, avec sa formule enrichie aux protéines de soie, détend la fibre sans alourdir le cheveu.
Elimine l'effet de frisottis et procure soyance et brillance pour un effet lisse immédiat.",Shampooing XL,250ML,,"€1,85",2.775,€8.20,"€8,90",K23001,2.956
XL,Gamme Liss Intense Anti-frizz,Kératine et Protéine de soie,Pour cheveux lisses et soyeux.,"La gamme liss intense anti-friss sans sulfates à la ératine et proté ne de soie.
Idéal pour cheveux secs, rebelles, difficiles à lisser.
Nourrit et restaure la re abimée, avec sa formule enrichie aux protéines de soie, détend la fibre sans alourdir le cheveu.
Elimine l'effet de frisottis et procure soyance et brillance pour un effet lisse immédiat.",Sérum XL,100ML,,"€3,95",5.925,€13.73,"€14,90",K23006,2.318
XL,Gamme Liss Intense Anti-frizz,Kératine et Protéine de soie,Pour cheveux lisses et soyeux.,"La gamme liss intense anti-friss sans sulfates à la ératine et proté ne de soie.
Idéal pour cheveux secs, rebelles, difficiles à lisser.
Nourrit et restaure la re abimée, avec sa formule enrichie aux protéines de soie, détend la fibre sans alourdir le cheveu.
Elimine l'effet de frisottis et procure soyance et brillance pour un effet lisse immédiat.",Masque XL,500ML,,"€2,45",3.675,€10.05,"€10,90",K23004,2.734
XL,Gamme Liss Intense Anti-frizz,Kératine et Protéine de soie,Pour cheveux lisses et soyeux.,"La gamme liss intense anti-friss sans sulfates à la ératine et proté ne de soie.
Idéal pour cheveux secs, rebelles, difficiles à lisser.
Nourrit et restaure la re abimée, avec sa formule enrichie aux protéines de soie, détend la fibre sans alourdir le cheveu.
Elimine l'effet de frisottis et procure soyance et brillance pour un effet lisse immédiat.",Masque XL,1000ML,,"€3,65",5.475,€14.65,"€15,90",K23005,2.677
XL,Gamme Liss Intense Anti-frizz,Kératine et Protéine de soie,Pour cheveux lisses et soyeux.,"La gamme liss intense anti-friss sans sulfates à la ératine et proté ne de soie.
Idéal pour cheveux secs, rebelles, difficiles à lisser.
Nourrit et restaure la re abimée, avec sa formule enrichie aux protéines de soie, détend la fibre sans alourdir le cheveu.
Elimine l'effet de frisottis et procure soyance et brillance pour un effet lisse immédiat.",Crème Liss XL,200ML,,"€2,65",3.975,€10.05,"€10,90",K23007,2.527
